σθ,σc,σt,SCF,B1,B2,Wet,MR
43.62,78.1,3.2,0.5,6.0,24.4,0.9,1
47.56,80.3,3.5,0.5,9.0,22.9,0.9,2
44.71,82.4,4.7,0.5,4.0,17.5,0.8,2
25.7,59.7,1.3,0.4,3.0,45.9,0.9,0
26.9,62.8,2.1,0.4,2.0,29.9,0.9,1
40.4,72.1,2.1,0.5,6.0,34.3,0.9,1
39.4,65.2,2.3,0.6,0.0,28.3,0.9,2
38.2,71.4,3.4,0.53,21.0,0.9,3.6,2
45.7,69.1,3.2,0.66,21.5,0.9,4.1,2
35.8,67.8,3.8,0.52,17.8,0.89,4.3,2
39.4,69.2,2.7,0.57,25.6,0.92,3.8,2
40.6,66.6,2.6,0.61,25.6,0.92,3.7,2
39.0,70.1,2.4,0.56,29.2,0.93,4.8,2
57.2,80.6,2.5,0.71,32.2,0.94,5.5,3
55.6,114.0,2.3,0.49,49.5,0.96,4.7,2
56.9,123.0,2.7,0.46,45.5,0.96,5.2,2
62.1,132.0,2.4,0.47,55.0,0.96,5.0,2
29.7,116.0,2.7,0.26,42.9,0.95,3.7,1
29.1,94.0,2.6,0.31,36.1,0.95,3.2,1
27.8,90.0,2.1,0.31,42.8,0.95,1.8,0
30.3,88.0,3.1,0.34,28.3,0.93,3.0,1
41.6,67.6,2.7,0.61,25.0,0.92,3.7,2
40.1,72.1,2.3,0.55,31.3,0.94,4.6,2
58.2,83.6,2.6,0.69,32.1,0.94,5.9,3
56.8,112.0,2.2,0.5,50.9,0.96,5.2,2
47.56,58.5,3.5,0.81,16.7,0.88,5.0,1
42.4,50.0,6.1,0.85,8.2,0.78,5.3,1
63.6,50.0,4.0,1.27,12.5,0.85,5.3,2
18.64,70.0,4.85,0.27,14.4,0.87,7.27,3
18.2,60.0,1.9,0.3,31.5,0.94,2.84,1
53.0,147.2,7.18,0.36,20.5,0.91,5.0,2
16.4,156.23,10.5,0.1,14.8,0.87,4.14,1
16.4,156.14,10.31,0.11,15.1,0.88,4.04,1
16.4,157.35,10.51,0.1,14.9,0.87,4.26,2
16.4,155.63,10.42,0.11,14.9,0.87,4.2,2
12.0,30.0,5.58,0.4,5.38,0.69,5.1,0
50.28,77.3,7.65,0.65,10.1,0.82,2.47,1
50.28,94.7,5.26,0.53,18.0,0.89,2.96,2
50.28,59.0,5.23,0.85,11.2,0.84,0.88,0
44.8,77.3,7.65,0.58,10.1,0.82,2.47,1
48.0,77.3,7.65,0.62,10.1,0.82,2.47,1
53.4,77.3,7.65,0.69,10.1,0.82,2.47,1
54.9,77.3,7.65,0.71,10.1,0.82,2.47,1
44.8,94.7,5.26,0.47,18.0,0.89,2.96,2
48.0,94.7,5.26,0.51,18.0,0.89,2.96,2
